Site,Grantor,Deed_Date,Liber_Folio,Acreage,Map,use type,Date_Built_Accepted,Building
Rockburn Branch Park,Nicholas and Peggy E. Stolzenbach,2/5/85,1340/276,1.200000048,37,Park,N/A,Land
Rockburn Branch Park,Stephen G. Provenza and Anna M. Provenza,5/10/79,939/483,96.80000305,37,Park,N/A,Land
Rockburn Branch Park,Murray Silverman and Marvin R. Lang,1/26/79,926/341,24.32909966,31,Park,N/A,Land
Rockburn Branch Park,"The Baltimore Province of the Sisters of Notre Dame DeNamur, Inc.",9/15/75,733/450,8.381999969,31,Park,N/A,Land
Rockburn Branch Park,Charles Alfred Roswell and May Roswell,9/8/75,735/505,106.8180008,31,Park,N/A,Land
Rockburn Branch Park,Alice L. Lorenz,11/29/74,704/646,83.87650299,31,Park,N/A,Land
Rockburn Hill Pump Station,Paul V. Guercio & Ruth M. Guercio,12/21/12,14613/86,0.160699993,32,Park,N/A,Land
Rockburn Hill Pump Station,"Edward G. Foit, Jr. & Mary R. Foit",9/28/12,14407/466,0.078599997,32,Park,N/A,Land
Rockburn Manor,"Trinity Quality Homes, Inc.",4/11/05,9133/417,1.302999973,37,Park,N/A,Land
Rockburn Run,"Rockburn Run Homeowners Association, Inc.",6/6/02,"6244/586, 11059/294",2.681200027,37,Park,N/A,Land
Rockburn Sewage Pump Station,Alice L. Lorenz,11/29/74,704/646,0,31,Park,8/1/00,Land
Rockburn Sewage Pump Station,Alice L. Lorenz,11/29/74,704/646,1.006500006,31,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,4/7/89,2002/353,0.437999994,37,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,4/7/89,2002/353,0.071000002,37,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,4/7/89,2002/353,0.079999998,37,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,4/7/89,2002/353,9.361000061,37,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,9/7/88,1879/782,0.071000002,31,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,9/7/88,1879/782,8.055000305,31,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,9/7/88,"1879/782, 12536/118",3.463490009,31,Park,N/A,Land
Rockburn Township,Rockburn Township Limited Partnership,9/7/88,1879/782,1.129999995,31,Park,N/A,Land
Rockburn View,"Dorsey Family Homes, Inc.",11/15/13,15504/368,0.02,37,Park,N/A,Land
Rockburn View,"Cornerstone Holdings, L.L.C.",10/4/05,9609/380,1.08099997,37,Park,N/A,Land
Rockburn View,"Cornerstone Holdings, L.L.C.",10/28/02,6614/0309,0.614000022,37,Park,N/A,Land
Rockburn View,"Cornerstone Holdings, LLC",1/15/02,5964/0416,6.269000053,37,Park,N/A,Land
Rockland at Rogers,G & R Rogers Development Corp.,2/7/11,13169/473,1.977399945,17,Park,N/A,Land
Rockland at Rogers,G & R Rogers Development Corp.,2/7/11,13169/473,22.52260017,17,Park,N/A,Land
Rockland Square,"Mary W. Brueckmann, Adolph Brueckman, Margaret Wiegand & Rockland Partnership",8/15/90,2314/694,2.156699896,17,Park,N/A,Land
Route 108 Sewage Pump Station,William H. Griffith,8/18/67,474/161,0,30,Park,N/A,Land
Route 216 Water Pump Station (Booster),"Howard County, Maryland",6/3/97,4040/260,0,46,Park,6/30/03,Land
Route 29 Water Pump Station,Columbia Industrial Development Corporation,2/18/85,1469/132,0,30,Park,6/30/89,Land
Route 29 Water Pump Station,Columbia Industrial Development Corporation,2/18/85,1469/132,0.554799974,30,Park,N/A,Land
Route 32 Water Pump Station,The Howard Research and Development Corporation,8/6/68,493/241,0,42,Park,3/31/69,Land
Route 32 Water Pump Station,The Howard Research and Development Corporation,8/6/68,493/241,0.150600001,42,Park,N/A,Land
Route 40 Sewage Pump Station,N/A,,N/A,0,,Park,6/30/89,Land
Route 40 Sewage Pump Station,H. Lee Ramsburg,9/14/64,426/325,0.210500002,24,Park,N/A,Land
Route 94 Park and Ride,State Highway Administration of the Department of Transportation,6/24/80,1092/486,0,7,Park,N/A,Land
Route 97 Forest Mitigation Bank,State Highway Administration of the Maryland Department of Transportation,1/6/12,13844/432,12.47719955,8,Park,N/A,Land
Roxbury,Brookside Properties and Hazel L. Welsh,6/30/83,1173/241,28.16300011,21,Park,N/A,Land
Ruppert Property,"Columbia Builders, Inc.",12/21/88,1964/001,0.84799999,24,Park,N/A,Land
Ruppert Property,"Columbia Builders, Inc.",12/21/88,1964/001,2.101300001,24,Park,N/A,Land
Ruppert Property,"Columbia Builders, Inc.",12/21/88,1964/001,0.118500002,24,Park,N/A,Land
Ruppert Property,"Columbia Builders, Inc.",12/21/88,1964/001,0.538999975,24,Park,N/A,Land
Ryan Acquisition,"Virginia Ryan, Personal Representative of the Estate of Carrie V. Ryan",5/1/08,11219/541,0.395000011,24,Park,N/A,Land
Ryan Acquisition,"Virginia Ryan, Personal Representative of the Estate of Carrie V. Ryan",5/1/08,11219/541,12.52999973,24,Park,N/A,Land
Saddle Ridge,Ernest P. Bock and Virginia A. Daniels,3/23/90,2161/609,0.153999999,31,Park,N/A,Land
Saddle Ridge,Allied Construction Corporation,10/6/88,1935/601,1.131999969,31,Park,N/A,Land
Saddlebrook Farm,"Shalehearth, L.C.",8/14/06,"10601/589, 10530/86",2.621000051,11,Park,N/A,Land
Saddlebrook Farm,"Shalehearth, L.C.",8/14/06,"10601/589, 10530/86",2.681999922,11,Park,N/A,Land
Salas Property,N/A,8/31/12,,0,,Park,8/31/12,Land
Salas Property,Glen J. Salas and Beverly A. Salas,8/31/12,14270/500,6.050000191,40,Park,N/A,Land
Savage Community Park,N/A,,N/A,0,,Park,12/20/99,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/98,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/82,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/82,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/82,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/82,Land
Savage Community Park,N/A,,N/A,0,,Park,6/30/82,Land
Savage Community Park,"Ephraim Winer, et al",2/11/70,527/084,19.96299934,47,Park,N/A,Land
Savage Community Park,"Angelo P. and Peggy  Ruta, et al",12/23/68,501/704,63.68299866,47,Park,N/A,Land
Savage Community Park,The Patuxent Water Company,1/24/58,309/491,3.829999924,47,Park,N/A,Land
Scaggsville Public Safety Complex,N/A,,N/A,0,,Park,1/15/10,Land
Scaggsville Public Safety Complex,N/A,,N/A,0,,Park,6/1/99,Land
Scaggsville Public Safety Complex,N/A,,N/A,0,,Park,6/30/96,Land
Scaggsville Public Safety Complex,N/A,,N/A,0,,Park,6/30/88,Land
Scaggsville Public Safety Complex,"Howard County, Maryland",6/3/97,4040/260,10.38300037,46,Park,N/A,Land
Scaggsville Water Tank,N/A,,N/A,0,,Park,6/30/84,Land
Scaggsville Water Tank,Philip M. Brown and Mary H. Brown,7/31/73,647/024,1.239599943,46,Park,N/A,Land
Scaggsville Water Tank-Communication Enhancement Site,N/A,,N/A,0,,Park,11/1/03,Land
Schooley Mill Park,N/A,,N/A,0,,Park,3/23/07,Land
Schooley Mill Park,N/A,,N/A,0,,Park,6/30/97,Land
Schooley Mill Park,N/A,,N/A,0,,Park,6/30/97,Land
Schooley Mill Park,N/A,,N/A,0,,Park,6/30/97,Land
Schooley Mill Park,N/A,,N/A,0,,Park,6/30/97,Land
Schooley Mill Park,Marie B. Adams,8/12/82,1113/718,6.711999893,40,Park,N/A,Land
Schooley Mill Park,Howard F. & Dorothea Carl,4/21/82,1098/281,12.72700024,40,Park,N/A,Land
Schooley Mill Park,Richard E. Curtis,5/10/78,881/483,172.6329956,40,Park,N/A,Land
Scott Acres,Lot 1 Improvement Corporation,6/2/99,4920/141,3.64289999,35,Park,N/A,Land
Scott Acres,Lot 1 Improvement Corporation,6/2/99,4920/141,1.163699985,35,Park,N/A,Land
SDP-03-150,Robert D. Semon and Michon C. Semon,4/13/07,10906/544,0.294400007,35,Park,N/A,Land
SDP-04-027,Robert D. Semon and Michon C. Semon,4/13/07,10906/544,0.2421,35,Park,N/A,Land
SDP-04-042,New Settler's Landing Associates Limited Partnership,3/9/84,1233/705,0.532999992,50,Park,N/A,Land
SDP-04-048,New Settler's Landing Associates Limited Partnership,3/9/84,1233/705,1.644000053,50,Park,N/A,Land
SDP-04-059,Orchards Associates,10/25/82,1142/187,0.239999995,36,Park,N/A,Land
SDP-04-074,Orchard Associates,4/23/86,1511/106,0.76730001,36,Park,N/A,Land
SDP-04-096,Orchard Associates,5/30/85,1357/740,1.460000038,36,Park,N/A,Land
SDP-04-098,Orchards Associates,1/23/85,1322/185,2.875200033,36,Park,N/A,Land
SDP-04-100,Orchards Associates,1/23/85,1322/185,0.050500002,36,Park,N/A,Land
SDP-04-117,Orchards Associates and Sewells Orchards,1/5/84,1225/486,0.068000004,36,Park,N/A,Land
SDP-04-123,Orchards Associates and Sewells Orchards,1/5/84,1225/486,0.147,36,Park,6/30/03,Land
SDP-04-125,Orchards Associates,1/1/83,1177/352,12.56799984,36,Park,N/A,Land
SDP-04-133,Sewells Orchard Community Association,8/27/82,1148/579,1.449000001,36,Park,N/A,Land
SDP-04-134,Sewells Orchard Community Association,8/27/82,1148/579,1.659999967,36,Park,N/A,Land
SDP-04-137,"Orchards Associates, et al",10/27/80,1023/507,4.290999889,36,Park,N/A,Land
SDP-04-144,"Shelton E. Sewall, III and Karen M. Sewell",3/9/88,1808/444,0.238999993,25,Park,N/A,Land
SDP-04-148,"K. Hovnanian Homes of Maryland, L.L.C.",2/28/14,15586/214,2.045000076,38,Park,N/A,Land
SDP-04-163,"Shank Property Homeowner's Association, Inc.",7/11/02,6397/062,1.128999949,47,Park,N/A,Land
SDP-05-003,"Williamsburg Group, L.L.C.",5/3/07,10762/779,4.780200005,29,Park,N/A,Land
SDP-05-008,N/A,,N/A,0,,Park,6/30/81,Land
SDP-05-013,Deborah Disney,01/22/1841,1/257,0.229,,Park,N/A,Land
SDP-05-023,Sherwood Crossing Limited Partnership,1/15/86,1441/700,4.670000076,37,Park,N/A,Land
Semon Property,"R. Wayne Newsome & Vollmerhausen Section III, Inc.",12/2/97,4271/091,4.64289999,47,Park,N/A,Land
Semon Property,Simpson Mill LLC,8/8/12,14408/21,9.380000114,35,Park,N/A,Land
Settler's Landing,N/A,,N/A,0,,Park,6/30/71,Land
Settler's Landing,General Electric Company,4/3/70,530/492,1.429999948,36,Park,N/A,Land
Sewells Orchard,"Souder Builders, Inc.",4/29/13,,0,,Park,4/29/13,Land
Sewells Orchard Park,"Souder Builders, Inc.",4/29/13,14915/378,0.192000002,50,Park,N/A,Land
Sewells Orchard Park,N/A,,N/A,0,,Park,4/19/95,Land
Sewells Orchard Park,N/A,,N/A,0,,Park,4/19/95,Land
Sewells Orchard Park,N/A,,N/A,0,,Park,4/19/95,Land
Sewells Orchard Park,N/A,,N/A,0,,Park,4/19/95,Land
Sewells Orchard Park,N/A,,N/A,0,,Park,4/19/95,Land
Sewells Orchard Park,State Highway Administration of the Maryland Department of Transportation,12/1/06,10585/349,0.915000021,4,Park,N/A,Land
Sewells Orchard Park,"Tisano Realty, Inc.",4/19/95,3483/621,7.368999958,4,Park,N/A,Land
Sewells Orchard Park,"The Dukes Place, Inc.",11/9/92,2713/171,1.238999963,4,Park,N/A,Land
Sewells Orchard Park,Robert W. & Rosemary T. Adee,8/2/91,2380/289,0.970000029,4,Park,N/A,Land
Sewells Property,N/A,1/31/89,1955/614,0,,Park,6/30/94,Land
Shady Lane Crossing,Gorman Road Limited Partnership,1/31/89,1955/614,2.779999971,47,Park,N/A,Land
Shank Property,N/A,,N/A,0,,Park,11/30/04,Land
Sheppard Manor Shared Sewage Facility,"Vernon L. Brokke and Gwendolyn l. Brokke, et al",11/21/01,5892/629,0.577300012,17,Park,N/A,Land
Sheriff's Office (Old Jail),The Fairling Corporation,8/15/01,5735/253,0.270999998,35,Park,N/A,Land
Sheriff's Office (Old Jail),The Fairling Corporation,8/15/01,5735/253,0.268000007,35,Park,N/A,Land
Sherwood Crossing,The Fairling Corporation,6/1/79,943/562,0.652999997,35,Park,N/A,Land
Shipley Meadows,Oxford Land Development Corp.,5/29/85,1384/653,0.754999995,17,Park,N/A,Land
Simpson Mill,Oxford Land Development Corp.,5/29/85,1384/653,1.159999967,17,Park,N/A,Land
Snowden Parkway Water Tank,"Celestinus Alva Green, et al",10/15/84,1294/250,1.264999986,17,Park,N/A,Land
Snowden Parkway Water Tank,"Celestinus Alva Green, et al",10/15/84,1294/250,0.519999981,17,Park,N/A,Land
Souder Property,"R/E Group, Inc.",10/14/03,8159/254,0.769999981,37,Park,N/A,Land
Souder Property,Stone Lake Corporation,3/2/04,8274/139,21.14539909,47,Park,N/A,Land
South Branch Park,Helen Fearing Irwin,6/23/04,8457/608,1.824900031,31,Park,N/A,Land
South Branch Park,Helen Fearing Irwin,6/23/04,8457/608,12.63899994,31,Park,N/A,Land
South Branch Park,"Stonecrest Manor, LLC",8/28/02,6485/241,4.159999847,25,Park,N/A,Land
South Branch Park,"Stone Manor III, LLC, Mid-Atlantic Land Services, Inc., John B. Mildenberg and R. Jacob Hikmat",8/14/06,10990/209,0.649999976,25,Park,N/A,Land
South Branch Park,"Stone Manor III, LLC, Mid-Atlantic Land Services, Inc., John B. Mildenberg and R. Jacob Hikmat",8/14/06,10990/209,2.25,25,Park,N/A,Land
South Branch Park,April R. Robbins,10/1/10,12907/178,0.349999994,16,Park,N/A,Land
South Branch Park,Storch Woods Associates,11/15/83,1223/244,1.472000003,47,Park,N/A,Land
South Branch Park,Storch Woods II Limited Partnership,9/28/83,1223/232,4.56400013,47,Park,N/A,Land
South Branch Park,Whiskey Bottom Joint Venture,9/23/87,1815/113,1.080000043,50,Park,N/A,Land
Southeastern Multi-Service Center,Security Development Corporation,11/13/89,2083/608,11.4375,31,Park,N/A,Land
Southeastern Multi-Service Center,"BZ Enterprises, Inc. & James L. Newburn",1/18/07,10730/77,4.225999832,38,Park,N/A,Land
Southern District Police Station-Communication Enhancement Site,"Landcon, Inc.",5/15/01,5506/195,0.819999993,31,Park,N/A,Land
Southview Road,"Landcon, Inc.",5/15/01,5506/195,0.039999999,31,Park,N/A,Land
Spring Lake Gardens,"Landcon, Inc.",2/23/00,5038/0386,6.409999847,31,Park,N/A,Land
Spring Lake Gardens,"Ellicott City Land Holding, Inc.; Allview Title Group, Inc., Malcolm T. Nichols,Nancy Olivia Nichols, Randolph H. Puepke and Maureen Puepke",2/27/07,11423/79,2.395999908,31,Park,N/A,Land
Spring Lake Gardens,"Richard E. Rittermann and Jeani A. Rittermann,  Karen A. Tamalavicz, R/E Group, Inc., Joseph E. Federline, Jr., and Cynthia Lee Federline",4/20/09,11752/453,4.045000076,31,Park,N/A,Land
St. Johns Green,Taylor Farm Development Corporation,6/7/02,6244/681,3.482000113,16,Park,N/A,Land
St. Johns Green,Taylor Farm Development Corporation,4/19/01,5454/219,0.224999994,16,Park,N/A,Record_Type
St. Johns Green,Taylor Farm Development Corporation,4/19/01,5454/219,,,Park,,
St. Johns Green,Taylor Farm Development Corporation,4/19/01,5454/219,,,Park,,
Steven Curran Property,"Friendly Farm LLC, Joseph J. Dymek and Cathy Dymek",10/18/07,11048/458,,,Park - Garden Plots,,
Stone Lake,Friendly Farms LLC,10/18/07,12297/404,VILLAGE OF RIVER HILL,1.01,Park - Garden Plots,3479,
Stone Manor,Friendly Farms LLC,10/18/07,12297/404,GLENWOOD COMMUNITY CENTER,189.65,Park - Land Only,53961,
Stone Manor,Taylor Land Holding Company,11/9/82,1229/580,HERITAGE OFFICE,0.95,Park (Easement),5040,
Stone Manor,Taylor Land Holding Company,11/9/82,1229/580,PATAPSCO VALLEY BUSINESS CENTER,30.882,Park (Floodplain),228242,,,,,,
"Stone Manor, Section 3",Taylor Land Holding Company,11/9/82,1229/580,MAPLE LAWN FARMS,3.203,Park (Floodplain),13741,,,,,,
"Stone Manor, Section 3","Rosemary D. Whitehead, Personal Representative of the Estate of John Teter",10/19/01,5835/680,CHERRY TREE FARM,4.9,Park (Pathway),0,,,,,,
Stonfield II,Geneva Giddings,5/20/91,2349/168,COLUMBIA GATEWAY,10.48,Park Building,108890,,,,,,
Storch Woods,Howard Estate Development Corporation,12/24/86,1674/102,COLUMBIA GATEWAY,3.87,Park Facilities,32850,,,,,,
Storch Woods,"The Chase II Holding Company, LLC, et al.",12/13/99,5051/290,COLUMBIA GATEWAY,11.025,Park Facilities,136600,,,,,,
Stratford Downs,,,,,,,,,,,,,
Strawberry Fields,,,,,,,,,,,,,
Summer Haven,,,,,,,,,,,,,
Sunny Field Estates,,,,,,,,,,,,,
Sunny Field Estates,,,,,,,,,,,,,
Sunny Field Estates,,,,,,,,,,,,,
Talbot Woods,,,,,,,,,,,,,
Talbot Woods II,VILLAGE OF RIVER HILL,1.01,1/24/05,Columbia,N SIDE OF GREAT STAR DR AT MD RT 108,Park,3479,,,,,"(39.2105, -76.9381)",POINT (1329859.8920763507 562295.8641141914)
Taylor Farm,GLENWOOD COMMUNITY CENTER,189.65,1/24/05,Rural West,NW QUADRANT CARRS MILL RD & RT 97,Park,53961,,,,,"(39.3066, -77.0289)",POINT (1304105.6552323513 597244.9071201906)
Taylor Farm,HERITAGE OFFICE,0.95,1/12/05,Rural West,N SIDE FREDERICK RD 700' W OF ADDISON WAY,Park,5040,,,,,"(39.3283, -77.038)",POINT (1301545.082022354 605110.6782501917)
Taylor Farm,PATAPSCO VALLEY BUSINESS CENTER,30.882,1/6/05,Elkridge,W SIDE COCA COLA DR S OF HI TECH DR,Park,228242,,40279,,,"(39.1873, -76.7315)",POINT (1388398.5350003503 553856.9790081922)
Taylor Farm,MAPLE LAWN FARMS,3.203,12/29/04,Southeast,NE QUADRANT MAPLE LAWN BLVD & RT 216,Park,13741,,10501,Car Wash,0,"(39.1474, -76.9059)",POINT (1338982.1644043513 539345.4858531915)
"Taylor Farm Section 3, Phase 1",CHERRY TREE FARM,4.9,12/27/04,Southeast,S SIDE OF SAND CHERRY LN W OF EARLY BUD WAY,Park,0,,,,,"(39.1394, -76.8972)",POINT (1341455.448566351 536433.0049941912)
"Taylor Farm Section 3, Phase 2",COLUMBIA GATEWAY,10.48,12/13/04,Columbia,TERMINUS OF LEE DEFOREST DR,Park,108890,,,,,"(39.1749, -76.8202)",POINT (1363255.038086351 549335.3424741905)
"Taylor Farm Section 3, Phase 2",COLUMBIA GATEWAY,3.87,12/3/04,Columbia,S SIDE ROBERT FULTON DR 400' E OF LEE DEFOREST DR,Park,32850,,,,,"(39.1755, -76.8155)",POINT (1364608.5851423517 549570.624671191)
Taylor Property,COLUMBIA GATEWAY,11.025,12/3/04,Columbia,S OF ROBERT FULTON DR AT COLUMBIA GATEWAY DR,Park,136600,,,,,"(39.174, -76.8115)",POINT (1365733.7069623508 549016.4205471929)
Taylor Property,GLEN MAR UNITED METHODIST CHURCH,21.097,12/3/04,Ellicott City,NORTHEAST OF MONTGOMERY ROAD (MD 103) AND NEW CUT ROAD,Park,70175,,,,,"(39.2419, -76.8021)",POINT (1368387.8041523546 573687.2316891924)
Taylor Property,JOHNS HOPKINS UNIVERSITY - APL,12.2,12/1/04,Southeast,N SIDE OF JOHNS HOPKINS RD E OF SANNER RD,Park,0,,,,,"(39.1688, -76.8924)",POINT (1342795.3921343498 547105.4345421921)
Teeter Property,ANNAPOLIS JUNCTION BUSINESS PARK,8.299,11/29/04,Southeast,N SIDE GUILFORD RD 300' E OF PUMP HOUSE RD,Park Facilities,109138,,,,,"(39.1306, -76.7908)",POINT (1371605.3124703541 533231.7852411903)
Teeter Property,MONTPELIER RESEARCH CENTER,1.509,10/28/04,Southeast,NE SIDE OF JOHNS HOPKINS RD AT MONTPELIER RD,Park Facilities,591,,3406,Car Wash,1152,"(39.1599, -76.892)",POINT (1342913.2890303507 543885.3049371913)
The Chase,DREYER'S GRAND ICE CREAM,48.49,10/27/04,Southeast,E SIDE US RT 1 N OF WHISKEY BOTTOM RD,Parking Garage,0,,,,,"(39.1161, -76.8276)",POINT (1361170.8703623489 527971.5735261925)
The Chase II,BENSON EAST,122.8,10/27/04,Columbia,SE QUADRANT OF WATERLOO RD & LARK BROWN RD,Parking Garage,0,,,,,"(39.1849, -76.7923)",POINT (1371179.0698463507 552967.8523131926)
Vacant Land,BALTIMORE AIR COIL - DORSEY RUN INDUSTRIAL CENTER,20.5,9/22/04,Elkridge,S SIDE MONTEVIDEO RD 1200' W OF THE COUNTY LINE,Parking Lot,93238,,,,,"(39.1616, -76.7732)",POINT (1376573.136244353 544513.6938651912)
Vacant Land,WILDE LAKE STREAM RESTORATION,,9/13/04,Columbia,,Parking Lot,0,,,,,"(39.2245, -76.8779)",POINT (1346914.9817503504 567367.7046111915)
Vacant Land,VILLAGE OF HARPERS CHOICE,6,9/13/04,Columbia,,Parking Lot,0,,,,,"(39.2278, -76.9006)",POINT (1340478.2646783516 568565.9346561916)
Vacant Land,CARMAX,12.673,9/3/04,Southeast,N SIDE OF FREESTATE RD AT GORMAN RD,Parking Lot,42385,,,,,"(39.1323, -76.8236)",POINT (1362316.397414349 533829.9911361914)
Vacant Land,VILLAGE OF RIVER HILL,0.7,8/31/04,Columbia,,Parking Lot,0,,,,,"(39.2123, -76.9279)",POINT (1332755.4511783496 562921.7074851915)
Vacant Land - Roadway (Union Chapel Road),MAPLE LAWN,3.847,8/20/04,Southeast,NW QUADRANT MAPLE LAWN BLVD & MD RT 216,Parking Lot,10941,,9747,Bank,3400,"(39.1481, -76.9073)",POINT (1338577.7440423518 539578.2224931922)
Vacant Land - Village of Cedar Ridge,TIBER HUDSON SENIOR HOUSING & COMMUNITY CENTER,3.94,8/16/04,Ellicott City,W SIDE OF ELLICOTT MILLS DR AT MOUNT IDA DR,Parking Lot,1600,,,,,"(39.2704, -76.8023)",POINT (1368332.2565763518 584081.8318731915)
Vacant Land at Brightfield,,,,,,,,,,,,,
Valley Lane Sewage Pump Station,,,,,,,,,,,,,
Valley Lane Sewage Pump Station,,,,,,,,,,,,,
Valley Mede,,,,,,,,,,,,,
Valley Mede,,,,,,,,,,,,,
Valley Mede,,,,,,,,,,,,,
Valley Mede,,,,,,,,,,,,,
Valley Mede,,,,,,,,,,,,,
Vetick Property,,,,,,,,,,,,,
Village of Cedar Ridge,,,,,,,,,,,,,
Village of Cedar Ridge,,,,,,,,,,,,,
Village of Cedar Ridge,,,,,,,,,,,,,
Village of Cedar Ridge,,,,,,,,,,,,,
Village of Cedar Ridge
Village of Hickory Ridge
Village of Hickory Ridge
Village of Hickory Ridge
Village of King's Contrivance
Village of King's Contrivance
Village of King's Contrivance
Vineyards at Cattail Ridge
VOA/SEA
Walden Woods
Walden Woods
Walnut Creek Shared Sewage Facility
Walnut Grove Shared Sewage Facility
Walnut Grove Shared Sewage Facility
Walnut Grove Shared Sewage Facility
Walter & Laverne Brown Property
Walter Davis Property
Warfield Pond Park
Warfield Pond Park
Warfield Pond Park
Warfield Pond Park
Warfield Pond Park
Warfield's Range
Warfields Range II
Waterloo Neighborhood Park
Waterloo Neighborhood Park
Waterloo Neighborhood Park
Waterloo Neighborhood Park
Waverly Mansion
Waverly Mansion
Waverly Mansion
Waverly Mansion
Waverly Overlook
Waverly Overlook
Waverly Sewage Pump Station
Waverly Sewage Pump Station
Wellington
West Friendship
West Friendship
West Friendship
West Friendship Park
West Friendship Park
West Friendship Park
West Friendship Park
West Friendship Park
West Friendship Park
West Friendship Park
West Side Garden Plots
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
West Zone Highway Maintenance Facility (Cooksville)
Westcliffe Manor
Westcliffe Manor
Westcliffe Manor
Westcliffe Manor
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Western Regional Park
Westgate Woods
Whiskey Bottom Road Water Pump Station
Whiskey Bottom Road Water Pump Station
Whitetail Woods
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willowood
Willows at Rocky Gorge
Willows at Rocky Gorge
Willows Sewage Pump Station
Willows Sewage Pump Station
Windy Knolls
Windy Knolls
Winter Oaks
Winter Oaks
Winterbrook
Winterbrook
Woodberry
Woodbrook
Woodcrest
Woodcrest II
Woodcrest II
Woodford's Grant
Woodford's Grant
Woodford's Grant
Woodford's Grant
Woodford's Grant
Woodford's Grant
Woodland Park
Woodland Park
Woodland Park
Woodland Park
Woodland Road Property
Woodland Village
Woodland Village
Woodland Village
Woodland Village
Woodland Village
Woodland Village
Woodlot
Woodlot
Woodlot
Woodlot
Woodlot
Woodlot
Woodlot
Woods of Park Place
Woods of Tiber Branch
Woods of Tiber Branch II
Woods of Tiber Branch II
Woods of Tiber Branch II
Woodstock Park
Worthington Addition
Worthington Fields
"Worthington Fields, Phase 6"
"Worthington Fields, Phase 6"
Worthington Park
Worthington Reserves
Worthington Reserves
Worthington Reserves
Worthington Reserves
Worthington Reserves
Wyndemere
Wyndemere
Wyndemere
Wyndemere
Wyndemere
Zanti Property
Zirn Property
Zirn Property
Zirn Property
Zirn Property















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































